,Date,Iron_Price,Silver_Price,Gold_Price,Copper_Price,S&P_GSCI_Price,ID,SUBURB,PRICE,BEDROOMS,BATHROOMS,POSTCODE,CITY
118,05/2002,12.68,5.05,326.60,5.05,"3,132.95",4499,Sawyers Valley,205000,4,2,6074,Perth
119,05/2002,12.68,5.05,326.60,5.05,"3,132.95",6086,Walliston,250000,3,2,6076,Perth
120,05/2002,12.68,5.05,326.60,5.05,"3,132.95",16257,Mahogany Creek,142000,3,1,6072,Perth
121,05/2002,12.68,5.05,326.60,5.05,"3,132.95",17627,Bickley,590000,4,2,6076,Perth
122,05/2002,12.68,5.05,326.60,5.05,"3,132.95",17887,Gnangara,224000,4,2,6077,Perth
123,05/2002,12.68,5.05,326.60,5.05,"3,132.95",18964,North Lake,425000,5,2,6163,Perth
124,05/2002,12.68,5.05,326.60,5.05,"3,132.95",20363,Orange Grove,300000,4,2,6109,Perth
125,05/2002,12.68,5.05,326.60,5.05,"3,132.95",22927,Wooroloo,97000,3,1,6558,Perth
126,05/2002,12.68,5.05,326.60,5.05,"3,132.95",23192,West Swan,240000,4,2,6055,Perth
127,06/2002,12.68,4.87,318.50,4.87,"3,240.01",13336,Jandabup,950000,4,2,6077,Perth
128,06/2002,12.68,4.87,318.50,4.87,"3,240.01",15120,Wungong,325000,2,2,6112,Perth
129,06/2002,12.68,4.87,318.50,4.87,"3,240.01",19335,Brigadoon,119000,4,2,6069,Perth
130,07/2002,12.68,4.66,305.50,4.66,"3,258.75",3204,Mundijong,102000,2,1,6123,Perth
131,07/2002,12.68,4.66,305.50,4.66,"3,258.75",5060,Belhus,198000,4,1,6069,Perth
132,07/2002,12.68,4.66,305.50,4.66,"3,258.75",10248,Wattleup,161500,4,2,6166,Perth
133,07/2002,12.68,4.66,305.50,4.66,"3,258.75",15672,Gnangara,185000,5,1,6077,Perth
134,07/2002,12.68,4.66,305.50,4.66,"3,258.75",17187,Sawyers Valley,87500,3,1,6074,Perth
135,07/2002,12.68,4.66,305.50,4.66,"3,258.75",28408,Wattleup,268000,3,1,6166,Perth
136,07/2002,12.68,4.66,305.50,4.66,"3,258.75",32715,North Lake,385000,4,3,6163,Perth
137,08/2002,12.68,4.57,312.80,4.57,"3,455.84",4337,Mariginiup,390000,4,2,6078,Perth
138,08/2002,12.68,4.57,312.80,4.57,"3,455.84",8650,Brigadoon,124000,4,2,6069,Perth
139,08/2002,12.68,4.57,312.80,4.57,"3,455.84",9208,Neerabup,490000,3,2,6031,Perth
140,08/2002,12.68,4.57,312.80,4.57,"3,455.84",11219,Mardella,77000,4,1,6125,Perth
141,08/2002,12.68,4.57,312.80,4.57,"3,455.84",30463,Baskerville,515000,3,1,6056,Perth
142,09/2002,12.68,4.53,323.70,4.53,"3,613.65",9808,Mahogany Creek,280000,4,1,6072,Perth
143,09/2002,12.68,4.53,323.70,4.53,"3,613.65",12053,Hovea,225000,5,3,6071,Perth
144,09/2002,12.68,4.53,323.70,4.53,"3,613.65",20180,Herne Hill,290000,5,2,6056,Perth
145,09/2002,12.68,4.53,323.70,4.53,"3,613.65",29425,Brigadoon,109950,5,2,6069,Perth
146,10/2002,12.68,4.48,316.90,4.48,"3,443.14",339,Mardella,270000,4,2,6125,Perth
147,10/2002,12.68,4.48,316.90,4.48,"3,443.14",5084,Mundijong,205000,4,2,6123,Perth
148,10/2002,12.68,4.48,316.90,4.48,"3,443.14",16087,Herne Hill,305000,4,1,6056,Perth
149,10/2002,12.68,4.48,316.90,4.48,"3,443.14",26558,Mardella,270000,4,2,6125,Perth
150,10/2002,12.68,4.48,316.90,4.48,"3,443.14",27742,Pickering Brook,435000,4,1,6076,Perth
151,10/2002,12.68,4.48,316.90,4.48,"3,443.14",29096,Mahogany Creek,195000,3,1,6072,Perth
152,10/2002,12.68,4.48,316.90,4.48,"3,443.14",31083,Bickley,224000,3,2,6076,Perth
153,10/2002,12.68,4.48,316.90,4.48,"3,443.14",33198,Mundijong,102000,4,2,6123,Perth
154,11/2002,12.68,4.43,319.05,4.43,"3,435.66",1935,Boya,180000,3,3,6056,Perth
155,11/2002,12.68,4.43,319.05,4.43,"3,435.66",2923,Brigadoon,132000,2,2,6069,Perth
156,11/2002,12.68,4.43,319.05,4.43,"3,435.66",6868,Belhus,377000,4,2,6069,Perth
157,11/2002,12.68,4.43,319.05,4.43,"3,435.66",9161,Jandabup,400000,4,2,6077,Perth
158,11/2002,12.68,4.43,319.05,4.43,"3,435.66",11433,Hovea,215000,5,3,6071,Perth
159,11/2002,12.68,4.43,319.05,4.43,"3,435.66",14839,Hopeland,480000,4,2,6125,Perth
160,11/2002,12.68,4.43,319.05,4.43,"3,435.66",17947,Brigadoon,109950,4,3,6069,Perth
161,11/2002,12.68,4.43,319.05,4.43,"3,435.66",18696,Casuarina,85000,4,2,6167,Perth
162,11/2002,12.68,4.43,319.05,4.43,"3,435.66",19732,Brigadoon,465000,4,3,6069,Perth
